N,M,mean_ops,std_ops,energy_nJ
10,42,16.80,7.12,16.80
15,63,38.45,12.97,38.45
20,85,53.85,12.85,53.85
25,106,104.40,39.42,104.40
30,127,173.37,73.55,173.37
35,149,232.35,120.63,232.35
